;TAXO_VERNACUL;annee;mois;nb
382;Barge rousse;2000;1;450
383;Bécasseau maubèche;2000;1;3400
384;Bécasseau variable;2000;1;2500
385;Bernache cravant;2000;1;3750
386;Canard chipeau;2000;1;53
387;Canard colvert;2000;1;300
388;Canard pilet;2000;1;200
389;Canard siffleur;2000;1;870
390;Canard souchet;2000;1;23
391;Courlis cendré;2000;1;380
392;Huîtrier pie;2000;1;2032
393;Macreuse noire;2000;1;305
394;Pluvier argenté;2000;1;80
395;Sarcelle d'hiver;2000;1;141
396;Tadorne de Belon;2000;1;161
397;Tournepierre à collier;2000;1;140
398;Barge rousse;2001;1;431
399;Bécasseau maubèche;2001;1;525
400;Bécasseau sanderling;2001;1;7
401;Bécasseau variable;2001;1;3750
402;Bernache cravant;2001;1;4501,5
403;Canard chipeau;2001;1;12
404;Canard colvert;2001;1;400
405;Canard pilet;2001;1;136,5
406;Canard siffleur;2001;1;267,5
407;Canard souchet;2001;1;9
408;Courlis cendré;2001;1;284
409;Grand Gravelot;2001;1;70,5
410;Huîtrier pie;2001;1;1337,5
411;Macreuse noire;2001;1;9
412;Pluvier argenté;2001;1;167,5
413;Sarcelle d'hiver;2001;1;133,5
414;Tadorne de Belon;2001;1;200
415;Tournepierre à collier;2001;1;65,5
416;Barge rousse;2002;1;378
417;Bécasseau maubèche;2002;1;5000
418;Bécasseau sanderling;2002;1;27,5
419;Bécasseau variable;2002;1;3969
420;Bernache cravant;2002;1;3736
421;Canard chipeau;2002;1;16
422;Canard colvert;2002;1;300
423;Canard pilet;2002;1;240
424;Canard siffleur;2002;1;500
425;Canard souchet;2002;1;70
426;Courlis cendré;2002;1;449,5
427;Grand Gravelot;2002;1;65
428;Huîtrier pie;2002;1;2425,5
429;Macreuse noire;2002;1;1378
430;Pluvier argenté;2002;1;253
431;Sarcelle d'hiver;2002;1;130
432;Tadorne de Belon;2002;1;258
433;Tournepierre à collier;2002;1;79
434;Barge rousse;2003;1;790
435;Bécasseau maubèche;2003;1;2875
436;Bécasseau sanderling;2003;1;17
437;Bécasseau variable;2003;1;871
438;Bernache cravant;2003;1;2393
439;Canard chipeau;2003;1;32,5
440;Canard colvert;2003;1;380
441;Canard pilet;2003;1;147,6666667
442;Canard siffleur;2003;1;711
443;Canard souchet;2003;1;9,666666667
444;Courlis cendré;2003;1;385
445;Grand Gravelot;2003;1;60
446;Huîtrier pie;2003;1;2030
447;Macreuse noire;2003;1;1293,5
448;Pluvier argenté;2003;1;139,5
449;Sarcelle d'hiver;2003;1;66,75
450;Tadorne de Belon;2003;1;112
451;Tournepierre à collier;2003;1;46
452;Barge rousse;2004;1;565
453;Bécasseau maubèche;2004;1;2000
454;Bécasseau sanderling;2004;1;136
455;Bécasseau variable;2004;1;3025
456;Bernache cravant;2004;1;2850
457;Canard chipeau;2004;1;13,66666667
458;Canard colvert;2004;1;260
459;Canard pilet;2004;1;250
460;Canard siffleur;2004;1;640
461;Canard souchet;2004;1;24
462;Courlis cendré;2004;1;515,5
463;Grand Gravelot;2004;1;58
464;Huîtrier pie;2004;1;2200
465;Macreuse noire;2004;1;660
466;Pluvier argenté;2004;1;225
467;Sarcelle d'hiver;2004;1;120
468;Tadorne de Belon;2004;1;80
469;Tournepierre à collier;2004;1;61
470;Barge rousse;2005;1;240
471;Bécasseau maubèche;2005;1;692
472;Bécasseau sanderling;2005;1;64
473;Bécasseau variable;2005;1;1568
474;Bernache cravant;2005;1;3272
475;Canard chipeau;2005;1;31,33333333
476;Canard colvert;2005;1;326
477;Canard pilet;2005;1;199,5
478;Canard siffleur;2005;1;600,5
479;Canard souchet;2005;1;52
480;Courlis cendré;2005;1;569
481;Grand Gravelot;2005;1;16
482;Huîtrier pie;2005;1;1815
483;Macreuse noire;2005;1;610
484;Pluvier argenté;2005;1;280
485;Sarcelle d'hiver;2005;1;217
486;Tadorne de Belon;2005;1;140
487;Tournepierre à collier;2005;1;50
488;Barge rousse;2006;1;460
489;Bécasseau maubèche;2006;1;2320
490;Bécasseau sanderling;2006;1;125
491;Bécasseau variable;2006;1;1448,5
492;Bernache cravant;2006;1;3745
493;Canard chipeau;2006;1;14
494;Canard colvert;2006;1;469
495;Canard pilet;2006;1;160
496;Canard siffleur;2006;1;898
497;Canard souchet;2006;1;33
498;Courlis cendré;2006;1;443,5
499;Grand Gravelot;2006;1;87
500;Huîtrier pie;2006;1;2778,5
501;Macreuse noire;2006;1;267,5
502;Pluvier argenté;2006;1;92
503;Sarcelle d'hiver;2006;1;163
504;Tadorne de Belon;2006;1;180
505;Tournepierre à collier;2006;1;163
506;Barge rousse;2007;1;840
507;Bécasseau maubèche;2007;1;3100
508;Bécasseau sanderling;2007;1;400
509;Bécasseau variable;2007;1;2700
510;Bernache cravant;2007;1;4335
511;Canard chipeau;2007;1;1
512;Canard colvert;2007;1;350
513;Canard pilet;2007;1;153,5
514;Canard siffleur;2007;1;309
515;Canard souchet;2007;1;26,5
516;Courlis cendré;2007;1;813
517;Grand Gravelot;2007;1;72
518;Huîtrier pie;2007;1;2800
