"","salinity","temperature","oxygen","fluo"
"780446",33.643,11.246,6.06,0.28330122870355
"780448",33.75,11.227,6.11,0.269512944217916
"780451",33.729,11.22,6.1,0.307496037913213
"780453",33.729,11.231,6.11,0.276461804173244
"780455",33.798,11.229,6.07,0.271841606536499
"780457",33.781,11.233,6.16,0.276461804173244
"780460",33.829,11.228,6.13,0.287801729930226
"780463",33.86,11.228,6.13,0.267171728403014
"780466",33.889,11.24,6.05,0.27415784926368
"780469",33.603,11.216,6.12,0.278753600952829
"780472",33.629,11.22,6.09,0.292256071356476
"780474",33.696,11.228,6.05,0.318063334962762
"780477",33.649,11.212,5.96,0.24551266781415
"780479",33.637,11.217,6.04,0.292256071356476
"780481",33.571,11.196,5.98,0.267171728403014
"780483",33.605,11.196,6.07,0.267171728403014
"780485",33.566,11.193,5.83,0.276461804173244
"780487",33.538,11.189,5.99,0.28330122870355
"780489",33.543,11.183,6,0.292256071356476
"780492",33.455,11.169,5.83,0.252853030979893
"780494",33.482,11.18,5.93,0.252853030979893
"780496",33.47,11.183,6.05,0.220108088040055
"780498",32.936,11.246,6.06,0.294466226161593
"780501",33.088,11.252,6.02,0.292256071356476
"780504",33.123,11.235,5.96,0.290034611362518
"780507",33.16,11.233,6.04,0.227886704613674
"780510",33.137,11.242,6,0.230448921378274
"780513",33.122,11.255,5.89,0.222716471147583
"780515",33.182,11.236,5.91,0.217483944213906
"780518",33.232,11.234,6.08,0.214843848047698
"780521",33.234,11.239,6.02,0.209515014542631
"780523",33.345,11.227,5.99,0.167317334748176
"780525",33.403,11.217,5.98,0.243038048686294
"780527",33.457,11.223,6.04,0.170261715394957
"780530",33.48,11.37,6.22,0.198657086954423
"780532",33.472,11.422,6.23,0.170261715394957
"780535",33.536,11.392,6.18,0.176091259055681
"780538",33.584,11.396,6.19,0.190331698170291
"780540",33.777,11.322,6.16,0.187520720836463
"780542",33.706,11.423,6.17,0.195899652409234
"780544",33.704,11.377,6.08,0.190331698170291
"780547",33.847,11.351,6.07,0.184691430817599
"780549",33.813,11.362,6.18,0.184691430817599
"780551",33.649,11.352,6.11,0.217483944213906
"780553",33.794,11.283,6.02,0.220108088040055
"780555",33.821,11.285,6.02,0.195899652409234
"780558",33.68,11.301,6.07,0.220108088040055
"780561",33.574,11.325,5.82,0.250420002308894
"780563",33.577,11.334,6.05,0.222716471147583
"780565",33.552,11.342,5.91,0.281033367247728
"780568",33.545,11.349,6.03,0.27415784926368
"780570",33.542,11.341,6.04,0.276461804173244
"780572",33.543,11.342,6.1,0.281033367247728
"780574",33.318,11.351,5.9,0.340444114840118
"780576",33.332,11.346,6.08,0.363611979892144
"780578",33.313,11.345,5.92,0.326335860928751
"780580",33.267,11.351,5.85,0.287801729930226
"780582",33.246,11.349,5.93,0.352182518111362
"780584",33.248,11.345,6,0.285557309007774
"780586",33.217,11.353,5.84,0.354108439147401
"780588",33.226,11.351,5.8,0.369215857410143
"780590",33.21,11.353,5.59,0.354108439147401
"780592",33.288,11.353,5.98,0.326335860928751
"780594",33.26,11.344,6.04,0.305351369446624
"780596",33.3,11.337,6,0.322219294733919
"780598",33.405,11.319,6.03,0.269512944217916
"780600",33.475,11.305,6.07,0.28330122870355
"780602",33.664,11.276,6.05,0.255272505103306
"780604",33.653,11.268,5.96,0.301029995663981
"780607",33.635,11.269,5.94,0.296665190261531
"780610",33.537,11.273,6.02,0.290034611362518
"780613",33.554,11.264,6.01,0.294466226161593
"780615",33.77,11.236,6,0.267171728403014
"780617",33.711,11.248,5.95,0.24551266781415
"780619",33.778,11.232,6.02,0.271841606536499
"780622",33.727,11.237,6.03,0.264817823009536
"780625",33.795,11.238,5.96,0.201397124320451
"780628",33.843,11.234,5.91,0.217483944213906
"780631",33.858,11.231,6,0.243038048686294
